column	1:	Year (YYYY)		
column	2:	Month (mm)		
column	3:	North Atlantic Oscillation (NAO)


yyyy	mm	NAO

1992	3	0.9
1992	4	1.9
1992	5	2.6
1992	6	0.2
1992	7	0.2
1992	8	0.9
1992	9	-0.4
1992	10	-1.8
1992	11	1.2
1992	12	0.5
1993	1	1.6
1993	2	0.5
1993	3	0.7
1993	4	1
1993	5	-0.8
1993	6	-0.6
1993	7	-3.2
1993	8	0.1
1993	9	-0.6
1993	10	-0.7
1993	11	2.6
1993	12	1.6
1994	1	1
1994	2	0.5
1994	3	1.3
1994	4	1.1
1994	5	-0.6
1994	6	1.5
1994	7	1.3
1994	8	0.4
1994	9	-1.3
1994	10	-1
1994	11	0.6
1994	12	2
1995	1	0.9
1995	2	1.1
1995	3	1.3
1995	4	-0.9
1995	5	-1.5
1995	6	0.1
1995	7	-0.2
1995	8	0.7
1995	9	0.3
1995	10	0.2
1995	11	-1.4
1995	12	-1.7
1996	1	-0.1
1996	2	-0.1
1996	3	-0.2
1996	4	-0.2
1996	5	-1.1
1996	6	0.6
1996	7	0.7
1996	8	1
1996	9	-0.9
1996	10	-0.3
1996	11	-0.6
1996	12	-1.4
1997	1	-0.5
1997	2	1.7
1997	3	1.5
1997	4	-1
1997	5	-0.3
1997	6	-1.5
1997	7	0.3
1997	8	0.8
1997	9	0.6
1997	10	-1.7
1997	11	-0.9
1997	12	-1
1998	1	0.4
1998	2	-0.1
1998	3	0.9
1998	4	-0.7
1998	5	-1.3
1998	6	-2.7
1998	7	-0.5
1998	8	0
1998	9	-2
1998	10	-0.3
1998	11	-0.3
1998	12	0.9
1999	1	0.8
1999	2	0.3
1999	3	0.2
1999	4	-1
1999	5	0.9
1999	6	1.1
1999	7	-0.9
1999	8	0.4
1999	9	0.4
1999	10	0.2
1999	11	0.6
1999	12	1.6
2000	1	0.6
2000	2	1.7
2000	3	0.8
2000	4	0
2000	5	1.6
2000	6	0
2000	7	-1
2000	8	-0.3
2000	9	-0.2
2000	10	0.9
2000	11	-0.9
2000	12	-0.6
2001	1	0.2
2001	2	0.5
2001	3	-1.3
2001	4	0
2001	5	0
2001	6	-0.2
2001	7	-0.2
2001	8	-0.1
2001	9	-0.7
2001	10	-0.2
2001	11	0.6
2001	12	-0.8
2002	1	0.4
2002	2	1.1
2002	3	0.7
2002	4	1.2
2002	5	-0.2
2002	6	0.4
2002	7	0.6
2002	8	0.4
2002	9	-0.7
2002	10	-2.3
2002	11	-0.2
2002	12	-0.9
2003	1	0.2
2003	2	0.6
2003	3	0.3
2003	4	-0.2
2003	5	0
2003	6	-0.1
2003	7	0.1
2003	8	-0.1
2003	9	0
2003	10	-1.3
2003	11	0.9
2003	12	0.6
2004	1	-0.3
2004	2	-0.1
2004	3	1
2004	4	1.2
2004	5	0.2
2004	6	-0.9
2004	7	1.1
2004	8	-0.5
2004	9	0.4
2004	10	-1.1
2004	11	0.7
2004	12	1.2
2005	1	1.5
2005	2	-0.1
2005	3	-1.8
2005	4	-0.3
2005	5	-1.3
2005	6	-0.1
2005	7	-0.5
